,transactionID,sourceAccountID,targetAccountID,timestamp,fan_in_bins_2-3,fan_in_bins_3-inf,fan_out_bins_2-3,fan_out_bins_3-inf,degree_in_bins_2-3,degree_in_bins_3-inf,degree_out_bins_2-3,degree_out_bins_3-inf,scatter-gather_bins_2-3,scatter-gather_bins_3-inf,temp-cycle_bins_2-3,temp-cycle_bins_3-inf,source_fan_out,source_deg_out,source_ratio_out,source_avg_col3_out,source_sum_col3_out,source_var_col3_out,source_skew_col3_out,source_kurtosis_col3_out,source_fan_in,source_deg_in,source_ratio_in,source_avg_col3_in,source_sum_col3_in,source_var_col3_in,source_skew_col3_in,source_kurtosis_col3_in,dest_fan_out,dest_deg_out,dest_ratio_out,dest_avg_col3_out,dest_sum_col3_out,dest_var_col3_out,dest_skew_col3_out,dest_kurtosis_col3_out,dest_fan_in,dest_deg_in,dest_ratio_in,dest_avg_col3_in,dest_sum_col3_in,dest_var_col3_in,dest_skew_col3_in,dest_kurtosis_col3_in
0,1.0,8.0,9.0,10.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,3.0,5.0,11.0,0.0,3.0,11.0,17.0,1.5454545454545454,10.0,250.0,0.0,0.0,0.0,11.0,15.0,1.3636363636363635,9.0,252.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,1.7,15.47368421052632,588.0,57.61772853185595,0.6656402354702746,1.4430769230769234
1,12.0,13.0,14.0,22.0,0.0,10.0,0.0,5.0,0.0,10.0,0.0,5.0,8.0,7.0,0.0,10.0,14.0,18.0,1.2857142857142858,17.659090909090903,777.0,63.042871900826434,0.03285756848324513,1.402102626246309,11.0,15.0,1.3636363636363635,19.71428571428571,414.0,53.06122448979592,0.4902903378454603,1.2403846153846156,11.0,14.0,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.4,22.0,374.0,0.0,0.0,0.0
2,24.0,25.0,28.0,29.0,0.0,8.0,0.0,5.0,0.0,8.0,0.0,5.0,8.0,5.0,0.0,4.0,7.0,8.0,1.1428571428571428,29.0,348.0,0.0,0.0,0.0,12.0,14.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.4,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.125,29.0,348.0,0.0,0.0,0.0
3,32.0,33.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,36.0,72.0,0.0,0.0,0.0,1.0,1.0,1.0,38.0,38.0,0.0,0.0,0.0
4,39.0,40.0,42.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.0,43.0,0.0,0.0,0.0,1.0,2.0,2.0,41.0,82.0,0.0,0.0,0.0,1.0,2.0,2.0,44.0,88.0,0.0,0.0,0.0,1.0,1.0,1.0,43.0,43.0,0.0,0.0,0.0
5,44.0,45.0,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,46.0,230.0,0.0,0.0,0.0,2.0,3.0,1.5,46.166666666666664,277.0,0.13888888888888928,1.7888543819998288,4.199999999999989
6,49.0,50.0,51.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,162.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,162.0,0.0,0.0,0.0
7,55.0,56.0,57.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0,59.0,0.0,0.0,0.0,1.0,2.0,2.0,57.0,228.0,0.0,0.0,0.0,1.0,2.0,2.0,59.0,118.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0,59.0,0.0,0.0,0.0
8,60.0,61.0,62.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,63.0,378.0,1.0,-1.8503717077085943e-16,1.0000000000000029,2.0,3.0,1.5,62.0,186.0,0.0,0.0,0.0,1.0,2.0,2.0,63.0,126.0,0.0,0.0,0.0,1.0,1.0,1.0,64.0,192.0,0.0,0.0,0.0
9,65.0,66.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,93.0,372.0,576.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,68.0,204.0,0.0,0.0,0.0,2.0,2.0,1.0,69.0,138.0,0.0,0.0,0.0
10,72.0,73.0,77.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,75.5,302.0,6.249999999999991,-1.8758328224066685e-15,1.0000000000000004,1.0,3.0,3.0,73.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,78.0,156.0,0.0,0.0,0.0
11,80.0,81.0,89.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,93.0,186.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,90.0,180.0,0.0,0.0,0.0,2.0,3.0,1.5,91.5,366.0,2.25,0.0,1.0
12,94.0,97.0,105.0,106.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,100.75,403.0,9.1875,1.1547005383792515,2.333333333333333,1.0,2.0,2.0,97.0,194.0,0.0,0.0,0.0,1.0,2.0,2.0,106.0,212.0,0.0,0.0,0.0,2.0,3.0,1.5,106.0,318.0,0.0,0.0,0.0
13,109.0,110.0,111.0,112.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,112.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,113.0,339.0,0.0,0.0,0.0,2.0,3.0,1.5,112.0,224.0,0.0,0.0,0.0
